,userNr,userId,file_name,N,S,V,Nprec,Nrec,Nfsc,Sprec,Srec,Sfsc,Vprec,Vrec,Vfsc,Err%,Noise%
86,1014,615708ba2312e518c0168e69,1630737.202,750,1,15,1.0,0.9493333333333334,0.9740082079343365,0.0,0.0,0.0,0.29411764705882354,1.0,0.45454545454545453,5.1,58.22454308093995
87,1014,615708ba2312e518c0168e69,1630737.214,750,0,10,1.0,0.9173333333333333,0.956884561891516,0.0,0.0,0.0,0.14705882352941177,1.0,0.25641025641025644,8.2,56.57894736842105
88,1014,615708ba2312e518c0168e69,1630737.288,731,0,6,1.0,0.9917920656634747,0.9958791208791209,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.8,49.25373134328358
89,1015,61632ace1e32557a62017bba,1630737.005,959,85,0,0.9946808510638298,0.9749739311783108,0.9847288046340179,0.5853658536585366,0.2823529411764706,0.38095238095238093,0.0,0.0,0.0,8.1,53.54406130268199
90,1015,61632ace1e32557a62017bba,1630737.006,940,70,3,0.9988814317673378,0.95,0.9738276990185387,0.1875,0.08571428571428572,0.11764705882352938,0.022988505747126436,0.6666666666666666,0.044444444444444446,11.1,62.88252714708786
91,1015,61632ace1e32557a62017bba,1630737.008,1092,83,0,0.9939903846153846,0.7573260073260073,0.8596673596673596,0.028089887640449437,0.060240963855421686,0.038314176245210725,0.0,0.0,0.0,29.2,53.87234042553192
92,1015,61632ace1e32557a62017bba,1630737.010,899,83,0,0.9988597491448119,0.9744160177975528,0.9864864864864864,0.6190476190476191,0.3132530120481928,0.41600000000000004,0.0,0.0,0.0,8.1,46.02851323828921
93,1015,61632ace1e32557a62017bba,1630737.024,1008,84,0,0.9926082365364308,0.9325396825396826,0.9616368286445013,0.4186046511627907,0.42857142857142855,0.42352941176470593,0.0,0.0,0.0,10.6,48.35164835164835
94,1015,61632ace1e32557a62017bba,1630737.033,1006,70,1,0.9978540772532188,0.9244532803180915,0.9597523219814241,0.17647058823529413,0.17142857142857143,0.1739130434782609,0.012987012987012988,1.0,0.025641025641025647,12.4,50.0464252553389
95,1015,61632ace1e32557a62017bba,1630737.073,999,97,0,0.9978021978021978,0.908908908908909,0.9512833944473547,0.23880597014925373,0.16494845360824742,0.1951219512195122,0.0,0.0,0.0,15.7,54.74452554744526
96,1015,61632ace1e32557a62017bba,1630737.077,962,101,0,0.9947423764458465,0.9833679833679834,0.989022477783586,0.6956521739130435,0.31683168316831684,0.43537414965986393,0.0,0.0,0.0,8.0,63.12323612417686
97,1015,61632ace1e32557a62017bba,1630737.161,987,88,0,0.9967248908296943,0.9250253292806484,0.9595375722543352,0.41304347826086957,0.4318181818181818,0.4222222222222222,0.0,0.0,0.0,11.5,46.23255813953489
98,1015,61632ace1e32557a62017bba,1630737.255,952,70,1,0.9946351931330472,0.9737394957983193,0.9840764331210191,0.6666666666666666,0.5428571428571428,0.5984251968503936,0.029411764705882353,1.0,0.05714285714285715,5.6,50.733137829912025
99,1016,61632afa1e325516b4017bbb,1630737.038,730,1,13,1.0,1.0,1.0,0.125,1.0,0.2222222222222222,1.0,0.46153846153846156,0.631578947368421,0.9,35.08064516129033
100,1016,61632afa1e325516b4017bbb,1630737.088,784,0,17,0.9987179487179487,0.9936224489795918,0.9961636828644501,0.0,0.0,0.0,0.7058823529411765,0.7058823529411765,0.7058823529411765,1.2,62.421972534332085
101,1016,61632afa1e325516b4017bbb,1630737.095,776,0,15,1.0,0.9987113402061856,0.9993552546744036,0.0,0.0,0.0,1.0,0.8,0.888888888888889,0.5,52.97092288242731
102,1016,61632afa1e325516b4017bbb,1630737.098,717,0,25,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.76,0.8636363636363636,0.8,51.078167115902964
103,1016,61632afa1e325516b4017bbb,1630737.100,784,0,7,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8571428571428571,0.923076923076923,0.1,53.855878634639694
104,1016,61632afa1e325516b4017bbb,1630737.106,813,0,16,0.9987608426270136,0.991389913899139,0.9950617283950617,0.0,0.0,0.0,0.7222222222222222,0.8125,0.7647058823529411,1.2,55.24728588661038
105,1016,61632afa1e325516b4017bbb,1630737.158,769,0,20,0.9948119325551232,0.9973992197659298,0.9961038961038962,0.0,0.0,0.0,1.0,0.65,0.787878787878788,1.1,56.020278833967055
106,1016,61632afa1e325516b4017bbb,1630737.205,900,0,28,0.9988901220865705,1.0,0.9994447529150472,0.0,0.0,0.0,1.0,0.7142857142857143,0.8333333333333333,0.9,59.26724137931034
107,1016,61632afa1e325516b4017bbb,1630737.273,787,0,4,1.0,0.9974587039390089,0.9987277353689569,0.0,0.0,0.0,1.0,1.0,1.0,0.3,61.06194690265486
108,1016,61632afa1e325516b4017bbb,1630737.276,800,1,13,1.0,0.99,0.9949748743718593,0.25,1.0,0.4,0.7222222222222222,1.0,0.8387096774193548,1.0,61.547911547911546
109,1017,61632b451e325518bb017bbd,1630737.001,718,1,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,57.85813630041725
110,1017,61632b451e325518bb017bbd,1630737.029,752,1,19,0.9986666666666667,0.9960106382978723,0.9973368841544608,0.5,1.0,0.6666666666666666,0.9,0.9473684210526315,0.9230769230769231,0.5,50.388601036269435
111,1017,61632b451e325518bb017bbd,1630737.031,713,0,1,0.9985855728429985,0.9901823281907434,0.9943661971830986,0.0,0.0,0.0,0.0,0.0,0.0,1.1,51.120448179271705
